#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0014-2-3,282.5668849806,43.725021215245,3,58682.85618872,1425.599392,58739.3333334,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0040-2-4,287.603449026338,44.6710611592037,3,59390.1541967824,475.199784,59456,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0041-2-3,285.736483260842,44.2917693417147,3,59419.4878068519,475.199767,59477,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0054-3-2,296.037048877528,39.7195013831087,3,59769.3976932755,475.199781,59828,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0055-3-1,297.313475586581,40.0477626402537,3,59796.599346088,475.199786,59841,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,137558813,,tess2021175071901-s0040-0000000137558813-0211-s,292.503752550615,41.8304205137379,3,59390.1543426736,120,59456,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,137558813,,tess2021204101404-s0041-0000000137558813-0212-s,292.503752550615,41.8304205137379,3,59419.4908962616,120,59477,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,137558813,,tess2022190063128-s0054-0000000137558813-0227-s,292.503752550615,41.8304205137379,3,59769.400292662,120,59828,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,137558813,,tess2022217014003-s0055-0000000137558813-0242-s,292.503752550615,41.8304205137379,3,59796.6018341667,120,59841,,0
science,SWIFT,,UVOT,,UVM2,UV,Kepler_Reg3_Pt26,,00048657001,292.694093401411,41.7900503280833,2,56328.0048843,1933.6567238332,NaN,,1.14774132768296
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,Kepler14-1,,000002D8D800,293.086583619624,41.7548129968703,3,56301.63504663,10.4,56316.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,Kepler14-1,,000002D8D800,293.086583619624,41.7548129968703,3,56301.63504663,10.4,56316.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,Kepler14-1,,000002D8D900,292.70006073409,42.2109489947879,3,56301.80886148,10.4,56316.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,Kepler14-1,,000002D8D900,292.70006073409,42.2109489947879,3,56301.80886148,10.4,56316.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,Kepler14-1-1,,000002FC9D00,292.906339562649,41.7120061450449,3,56662.50821307,10.4,56680.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,Kepler14-1-1,,000002FC9D00,292.906339562649,41.7120061450449,3,56662.50821307,10.4,56680.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,Kepler14-1-1,,000002FCB900,292.752468497391,42.2246318730915,3,56661.38715891,10.4,56680.6666666,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,Kepler14-1-1,,000002FCB900,292.752468497391,42.2246318730915,3,56661.38715891,10.4,56680.6666666,,0
science,PS1,3PI,GPC1,PS1,g,OPTICAL,2212.042,,rings.v3.skycell.2212.042.stk.g,292.536053366046,41.7905296211452,3,55014.3632814,937,57741.5416666,3PI,0
science,PS1,3PI,GPC1,PS1,i,OPTICAL,2212.042,,rings.v3.skycell.2212.042.stk.i,292.536053366046,41.7905296211452,3,55019.5526209,1230,57741.5416666,3PI,0
science,PS1,3PI,GPC1,PS1,r,OPTICAL,2212.042,,rings.v3.skycell.2212.042.stk.r,292.536053366046,41.7905296211452,3,55014.3860933,838,57741.5416666,3PI,0
science,PS1,3PI,GPC1,PS1,y,OPTICAL;INFRARED,2212.042,,rings.v3.skycell.2212.042.stk.y,292.536053366046,41.7905296211452,3,55026.5952595,620,57741.5416666,3PI,0
science,PS1,3PI,GPC1,PS1,z,OPTICAL,2212.042,,rings.v3.skycell.2212.042.stk.z,292.536053366046,41.7905296211452,3,55464.3404906,480,57741.5416666,3PI,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009114174833_48,292.470898690353,41.2207807647272,1,54945.72162632,1765.469952,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009114204835_48,292.470898690353,41.2207807647272,1,54945.84664962,1765.469952,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009115002613_48,292.470898690353,41.2207807647272,1,54945.99778262,1765.469952,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009115053616_48,292.470898690353,41.2207807647272,1,54946.21309222,1765.469952,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009115080620_48,292.470898690353,41.2207807647272,1,54946.31730352,1765.469952,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2009115131122_48,292.470898690353,41.2207807647272,1,54946.52913182,1765.469952,NaN,Kepler,0
