#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")"
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0011-2-2,208.8189526,-63.87508614,3,58596.27409,1425.599394,58651.5,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0012-2-1,222.2175988,-66.88268388,3,58624.46189,1425.599394,58673.5,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0038-2-2,-143.0396108,-65.8491968,3,59333.35713,475.199789,59409,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,388857263,,tess2018206190142-s0001-s0013-0000000388857263,217.429,-62.6795,3,58596.2742,120,58721,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,388857263,,tess2018206190142-s0001-s0039-0000000388857263,217.429,-62.6795,3,58596.27418,120,59452,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,388857263,,tess2019112060037-s0011-0000000388857263-0143-s,217.429,-62.6795,3,58596.29363,120,58651.5,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,388857263,,tess2019140104343-s0012-0000000388857263-0144-s,217.429,-62.6795,3,58624.45796,120,58673.5,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,388857263,,tess2021118034608-s0038-0000000388857263-0209-a_fast,217.429,-62.6795,3,59333.3574,20,59409,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,388857263,,tess2021118034608-s0038-0000000388857263-0209-s,217.429,-62.6795,3,59333.3574,120,59409,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,1019422496,,tess2021118034608-s0038-0000001019422496-0209-s,217.4286349,-62.67917276,3,59333.3574,120,59409,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676001,217.3747298,-62.66519151,2,55387.05182,1863.68551,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676002,217.477338,-62.66677534,2,55537.69282,1673.57398,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676003,217.3496643,-62.6378299,2,55632.54789,1586.809994,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676004,217.4570592,-62.68263841,2,55808.16953,1238.399645,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676005,217.3431013,-62.64758218,2,55812.38727,728.7648357,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676006,217.4310325,-62.62914004,2,56016.86626,1939.728224,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676007,217.3716404,-62.5777585,2,56019.65877,2404.972618,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676008,217.3819871,-62.64801758,2,56023.01953,2285.573419,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676009,217.4094588,-62.65796407,2,56027.41318,2522.624493,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676010,217.3732435,-62.59908376,2,56031.1486,1374.661374,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676011,217.2628679,-62.61647101,2,56039.12027,1016.539354,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676012,217.3851539,-62.6578107,2,56043.57912,1961.409646,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676013,217.4180197,-62.67429159,2,56047.24853,2484.861498,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676014,217.3216566,-62.6646501,2,56051.87081,1576.091633,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676015,217.4127743,-62.62212176,2,56059.57123,801.1126222,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676016,217.3434616,-62.65470117,2,56060.43718,846.6284245,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676017,217.3827188,-62.65855128,2,56063.24447,1553.784102,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676018,217.3432697,-62.6176985,2,56071.7911,2081.964382,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676019,217.2942109,-62.62954429,2,56075.53075,2185.221059,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,ProximaCen,,31676020,217.3598441,-62.6723285,2,56081.00773,993.0656756,NaN,,0
