#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0014-3-2,282.712922712008,70.7096586750948,3,58682.85358855,1425.599392,58739.3333334,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0015-3-2,275.582406736213,72.44821973403,3,58710.87441429,1425.599379,58756.3333334,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0016-3-2,266.321063254639,72.6260927427735,3,58738.14524109,1425.599358,58782.3333334,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0017-4-2,279.829471309401,74.5075389138506,3,58764.18758904,1425.599381,58818.3333334,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0018-4-2,265.502522116287,75.005568701389,3,58790.16674417,1425.599399,58833.3333334,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0019-4-1,291.454256244762,69.9212853661702,3,58815.58365505,1425.599402,58875,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-4-1,285.10382915083,73.4744176026828,3,58842.00031671,1425.599406,58893,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-4-1,270.471836128612,75.1355817942295,3,58869.93781119,1425.59939,58917,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0023-4-4,286.213036432369,73.2531221898921,3,58927.60323579,1425.599383,58973,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0024-3-1,259.956083867358,71.6555568737354,3,58955.29125985,1425.599365,59001,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0025-3-1,255.166714199567,69.361818754888,3,58983.14540192,1425.599351,59050,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0026-3-2,285.692548839337,66.8764456023163,3,59009.77011711,1425.599348,59064,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0040-3-2,285.385003192519,68.6135718431045,3,59390.1518735301,475.199784,59456,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0041-3-2,281.493247943825,71.1955879900215,3,59419.4852031597,475.199767,59477,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0047-4-1,282.015271478656,74.1688058494881,3,59579.298597662,475.199791,59621,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0048-4-1,265.976249871882,75.0394838648982,3,59607.4305422106,475.199789,59652,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0049-4-4,291.177936342484,70.5487527631287,3,59636.9709729977,475.199787,59695,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0050-4-4,283.610668548069,73.9395122118143,3,59664.7695696875,475.199783,59710,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0051-4-4,269.817352939164,75.2086755408083,3,59692.443149838,475.199783,59758,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0052-3-1,254.775127421015,68.9197887015433,3,59718.1311859259,475.199781,59778,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0053-3-2,285.740438246753,67.2735688928437,3,59743.4920031829,475.199775,59786,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0054-4-3,278.811918687724,74.7092001102662,3,59769.3942231019,475.199781,59828,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0055-4-3,263.877208087165,74.9675515771206,3,59796.5956008912,475.199786,59841,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0056-4-2,285.497364324316,70.6011729972758,3,59824.7517851736,158.399927,59873,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0057-4-2,277.750311717143,72.9565808950732,3,59852.8489867708,158.399928,59904,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0058-4-2,266.062414044734,73.3532358639296,3,59881.8235128704,158.399926,59928,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0059-4-2,256.638399935568,71.6163633553087,3,59909.7586893634,158.399928,59962,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0060-4-1,288.358105705222,71.7807002998132,3,59936.3978400463,158.399929,59982,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2019199201929-s0014-s0055-0000000219114641,272.144734038805,69.4579778181713,3,59390.1462549306,120,59855,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2021175071901-s0040-0000000219114641-0211-s,272.144734038805,69.4579778181713,3,59390.1518104745,120,59456,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2021204101404-s0041-0000000219114641-0212-s,272.144734038805,69.4579778181713,3,59419.4879860301,120,59477,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2021364111932-s0047-0000000219114641-0218-s,272.144734038805,69.4579778181713,3,59579.3147927662,120,59621,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2022027120115-s0048-0000000219114641-0219-s,272.144734038805,69.4579778181713,3,59607.4327471875,120,59652,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2022085151738-s0050-0000000219114641-0222-s,272.144734038805,69.4579778181713,3,59664.7699374653,120,59710,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2022112184951-s0051-0000000219114641-0223-s,272.144734038805,69.4579778181713,3,59692.4545253356,120,59758,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2022164095748-s0053-0000000219114641-0226-s,272.144734038805,69.4579778181713,3,59743.4946942361,120,59786,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2022190063128-s0054-0000000219114641-0227-s,272.144734038805,69.4579778181713,3,59769.3975082986,120,59828,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114641,,tess2022217014003-s0055-0000000219114641-0242-s,272.144734038805,69.4579778181713,3,59796.5989803009,120,59841,,0
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0022-4-1,255.471539899933,73.6260466925414,3,58898.81280156,1425.599393,58945,,50.3245185620072
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219117508,,tess2021364111932-s0047-0000000219117508-0218-s,272.345940798069,69.4247247431016,3,59579.3147884838,120,59621,,276.216790165422
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219117508,,tess2022027120115-s0048-0000000219117508-0219-s,272.345940798069,69.4247247431016,3,59607.4327402778,120,59652,,276.216790165422
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219117508,,tess2022085151738-s0050-0000000219117508-0222-s,272.345940798069,69.4247247431016,3,59664.7699304977,120,59710,,276.216790165422
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219117508,,tess2022112184951-s0051-0000000219117508-0223-s,272.345940798069,69.4247247431016,3,59692.4545208565,120,59758,,276.216790165422
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019199201929-s0014-s0019-0000000219112871,271.856847607383,69.5206624175263,3,58738.1454537847,120,58904,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019199201929-s0014-s0023-0000000219112871,271.856847607383,69.5206624175263,3,58738.1454537847,120,58988,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019199201929-s0014-s0026-0000000219112871,271.856847607383,69.5206624175263,3,58738.1454537847,120,59092,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019199201929-s0014-s0041-0000000219112871,271.856847607383,69.5206624175263,3,58738.1454537847,120,59484,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019199201929-s0014-s0050-0000000219112871,271.856847607383,69.5206624175263,3,58738.1454537847,120,59766,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019199201929-s0014-s0055-0000000219112871,271.856847607383,69.5206624175263,3,58738.1454537847,120,59855,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019253231442-s0016-0000000219112871-0152-s,271.856847607383,69.5206624175263,3,58738.15100936,120,58782.3333334,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019279210107-s0017-0000000219112871-0161-s,271.856847607383,69.5206624175263,3,58764.1830794,120,58818.3333334,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019306063752-s0018-0000000219112871-0162-s,271.856847607383,69.5206624175263,3,58790.15539353,120,58833.3333334,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2019357164649-s0020-0000000219112871-0165-s,271.856847607383,69.5206624175263,3,58842.00264316,120,58893,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2020020091053-s0021-0000000219112871-0167-s,271.856847607383,69.5206624175263,3,58869.93311429,120,58917,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2020078014623-s0023-0000000219112871-0177-s,271.856847607383,69.5206624175263,3,58927.605033044,120,58973,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2020106103520-s0024-0000000219112871-0180-s,271.856847607383,69.5206624175263,3,58955.29377208,120,59001,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2020133194932-s0025-0000000219112871-0182-s,271.856847607383,69.5206624175263,3,58983.13116916,120,59050,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2020160202036-s0026-0000000219112871-0188-s,271.856847607383,69.5206624175263,3,59009.765850463,120,59064,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2021175071901-s0040-0000000219112871-0211-s,271.856847607383,69.5206624175263,3,59390.1518037847,120,59456,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2021364111932-s0047-0000000219112871-0218-s,271.856847607383,69.5206624175263,3,59579.3148004282,120,59621,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022027120115-s0048-0000000219112871-0219-s,271.856847607383,69.5206624175263,3,59607.432758287,120,59652,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022085151738-s0050-0000000219112871-0222-s,271.856847607383,69.5206624175263,3,59664.7699472685,120,59710,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022112184951-s0051-0000000219112871-0223-s,271.856847607383,69.5206624175263,3,59692.4545308796,120,59758,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022138205153-s0052-0000000219112871-0224-s,271.856847607383,69.5206624175263,3,59718.1336080787,120,59778,,422.582964407658
